munid,eblup_income,eblupROR_rate,eblupROR_gap,eblupROR_severity
101,1663595.3,.83589649,.51906812,.37003928
301,1609995.4,.75996369,.3940987,.25452945
302,3299581.8,.60000002,.28980818,.16790982
303,1867222.4,.80931211,.40628561,.25721014
304,1724395.4,.687635,.42148978,.29724759
305,1100140.4,.9056527,.58285588,.41652226
306,2094208.5,.57704937,.30765375,.17628123
307,825118.44,.93051273,.58033586,.41299716
308,2138841,.69943237,.3994841,.26406562
309,970477.19,.98307717,.62144166,.4411349
310,288943.31,1.0318993,.65941221,.49140993
311,1354086.6,.80000001,.46445209,.29249209
312,1759886.6,.79636437,.40298295,.26176235
313,1812200.1,.82569456,.44962177,.30608329
314,1885783.3,.80000001,.50424004,.35892609
315,1863243.5,.76076794,.38522604,.23208967
316,2266970,.61908138,.33276063,.21804401
317,1987990.3,.69999999,.3879829,.26992238
318,1852908,.71167171,.38638276,.25390518
319,1777875.6,.75858343,.44508392,.30396917
320,1071869.5,.89912617,.58711457,.43315431
321,2910658.3,.46198425,.14057834,.046776623
401,2935789.8,.5,.20902555,.10738583
402,3306896.8,.60467005,.28065667,.16787466
403,2513281,.5,.1571901,.062953345
404,2825400.8,.57861036,.23957746,.12799074
405,2470072.5,.5,.16398172,.071384184
406,2177289.5,.74423897,.37488386,.22772688
407,3462158.5,.45836627,.22016305,.13158049
501,798084.56,1,.64376664,.49982971
502,1305523,.85058492,.49191284,.33425537
503,1321949.9,.86822265,.58026612,.42881915
504,901571.69,1,.59757406,.40922153
505,1200420.8,.85270387,.54154539,.3949886
506,907759.19,1,.59481221,.45334268
507,1136151.5,.91439027,.57117772,.40098137
508,1819898.1,.69740522,.38288501,.24516575
509,1071022,1,.5219382,.3400276
510,878998.25,.92729741,.59466892,.44593981
511,1462188.8,.80354708,.48650411,.33405119
512,1029397.8,.95458066,.52988136,.35672402
513,2128752,.65014333,.32067966,.22681233
514,1757170.5,.81590176,.48022905,.31009194
515,700801.63,1,.68718988,.49104553
516,1240847.5,.86005127,.53358412,.36868444
517,1281344.6,.82691884,.4785077,.33324489
518,2245078.5,.59827906,.25423637,.13966469
601,379262.63,1,.83014446,.70934051
602,2696723,.46548086,.18523414,.10003011
603,482553.22,1.277347,.57625121,.32563993
604,1199109.4,.88452441,.54284632,.39147845
605,1029857.5,.88906902,.57653832,.41588292
606,591264.81,1,.73608279,.54229105
607,2297622,.75688303,.22905479,.099391177
608,751086.94,.95834154,.6707601,.50471306
609,798502.31,1,.62925351,.42507285
610,880503.56,1,.61410481,.47016224
611,688794.5,1,.69254941,.47962466
612,2950349.5,.80000001,.25389627,.10146882
701,2448946.3,.68122917,.35776019,.22699586
702,1720921.1,.70655406,.26396054,.13898189
703,1740403.3,.85855877,.44650149,.26589167
704,1895835.3,.67953539,.22552179,.10549948
705,2107890.5,.72631162,.33404535,.18905848
706,1815697.8,.80578256,.38767609,.22260483
707,2264029.5,.67270195,.19770762,.062458325
708,1709745.4,.7943176,.33502308,.16310415
709,1783324.4,.7394169,.3509075,.20829563
710,1338350.3,.78435761,.36180675,.22797358
711,1621339.3,.83105129,.46307936,.29527813
801,609419.38,1,.7279793,.5299539
802,700875.19,1,.67681456,.49099353
803,1923564.1,.5,.23897573,.1142188
804,1349521.5,.76652718,.48972195,.36202455
805,901281.94,.92413056,.54550076,.37515774
806,1305786.5,.83315915,.52679145,.40455714
807,1105051.1,.82865167,.55598456,.42175516
808,1402124.3,.85691708,.47858799,.32403502
809,1269924.1,.89668787,.53414077,.37701827
810,2006297.8,.68970615,.30221003,.15332861
811,1115217.5,.90676242,.56560326,.40385625
812,1175917.3,1,.47511709,.32766709
813,1394955,.79854101,.46652269,.32234472
814,1665899.9,.77411121,.44145662,.29949778
901,692996.81,1,.67380983,.47496298
902,1815173.8,.70430309,.43185818,.30665222
903,347634.22,1.0784447,.66884458,.48183575
904,833304.69,1.0357883,.65445411,.46144673
905,867376.94,.9838112,.65671766,.47787511
906,1200881.8,.87098473,.59278172,.42716175
